Title,Date,Category,Description
"Nguyên đơn 'tố' bị đơn tẩu tán tài sản, né nghĩa vụ trả nợ 18 tỉ đồng",2025-10-16 17:01:00,Thời sự,"Tại phiên tòa, nguyên đơn cung cấp tài liệu cho rằng bị đơn có dấu hiệu tẩu tán tài sản nhằm trốn tránh nghĩa vụ trả nợ theo thỏa thuận."
Miền Trung mưa lớn dồn dập trong 10 ngày tới,2025-10-16 16:51:00,Thời sự,"Trong khoảng 10 ngày, từ 16 - 26.10, các tỉnh miền Trung sẽ có mưa lớn dồn dập, nguy cơ xuất hiện lũ lớn trên các sông từ Hà Tĩnh đến Quảng Ngãi."
"Tạo khung pháp lý cho các công trình, dự án cấp bách",2025-10-16 16:45:00,Thời sự,"Ông Phan Văn Mãi dẫn thực tế TP.HCM đến nay vẫn chưa quyết toán được các bệnh viện dã chiến xây dựng khẩn cấp trong dịch Covid-19, đề nghị cần có quy định rõ ràng cho các dự án, công trình khẩn cấp, cấp bách."
Việt Nam lên tiếng về vụ việc xảy ra trong lãnh hải đảo Thị Tứ,2025-10-16 16:39:00,Thời sự,"Liên quan đến vụ việc xảy ra trong lãnh hải đảo Thị Tứ, Việt Nam hết sức quan ngại về những thông tin công khai mà các bên liên quan đưa ra."
1.000 đại biểu tham dự Đại hội thi đua yêu nước TP.HCM,2025-10-16 16:25:00,Thời sự,"Đại hội Thi đua yêu nước TP.HCM lần thứ 1 sẽ diễn ra ngày 24.10, có khoảng 1.000 đại biểu tham gia; nhằm biểu dương các gương điển hình tiên tiến và đề ra phương hướng thi đua giai đoạn mới."
Hà Nội lấy ý kiến người dân về quy hoạch hai bên bờ sông Tô Lịch,2025-10-16 15:48:00,Thời sự,Chính quyền sở tại đang tổ chức lấy ý kiến người dân về đồ án Quy hoạch chi tiết tỷ lệ 1/500 hai bên bờ tuyến sông Tô Lịch.
Đồng Nai nghiên cứu mở tour du lịch xem voi hoang dã,2025-10-16 15:46:00,Thời sự,"UBND tỉnh Đồng Nai giao các sở ngành nghiên cứu, tham mưu về việc kêu gọi nhà đầu tư triển khai dự án du lịch xem voi, để có điều kiện tái đầu tư, cải tạo sinh cảnh riêng cho voi trên địa bàn."
"Mở rộng miễn giấy phép xây dựng, thời gian cấp phép tối đa 7 ngày",2025-10-16 15:45:00,Thời sự,"Dự thảo luật Xây dựng mới mở rộng diện miễn giấy phép xây dựng, đồng thời cắt giảm, đơn giản thủ tục, thời gian tối đa cấp giấy phép xây dựng chỉ còn 7 ngày."
Ông Lương Nguyễn Minh Triết giữ chức Bí thư Tỉnh ủy Đắk Lắk,2025-10-16 15:39:00,Thời sự,"Ông Lương Nguyễn Minh Triết, Ủy viên dự khuyết BCH Trung ương Đảng khóa XIII, Bí thư Thành ủy Đà Nẵng, được Bộ Chính trị điều động giữ chức Bí thư Tỉnh ủy Đắk Lắk (nhiệm kỳ 2025 - 2030)."
Vĩnh Long: Công ty New Increase vi phạm xả nước thải ra môi trường,2025-10-16 15:36:00,Thời sự,Một công ty ở Vĩnh Long xả nước thải ra môi trường vượt quy chuẩn kỹ thuật về chất thải từ 10 lần trở lên bị lực lượng công an lập biên bản và ra quyết định xử phạt gần 350 triệu đồng.
"Chồng bị xe tông chết trên QL1, vợ tử vong bất thường tại nhà",2025-10-16 15:28:00,Thời sự,"Một vụ việc thương tâm xảy ra ở xã Đông Trạch (Quảng Trị) khi hai vợ chồng tử vong trong cùng ngày, người chồng chết vì tai nạn giao thông còn người vợ tử vong bất thường tại nhà."
