id,Title,Date,Category,Description,Url
b41581fb24a9a1100604a4611957db5c,"Nguy&ecirc;n đơn &#039;tố&#039; bị đơn tẩu t&aacute;n t&agrave;i sản, n&eacute; nghĩa vụ trả nợ 18 tỉ đồng",2025-10-16T17:01:00,Thời sự,"<a href=""https://thanhnien.vn/nguyen-don-to-bi-don-tau-tan-tai-san-ne-nghia-vu-tra-no-18-ti-dong-185251016155555965.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/2-can-nha-lien-quan-17606044433141546366289-499-0-1212-1140-crop-17606045634861098102781.jpg""></a> Tại phi&ecirc;n t&ograve;a, nguy&ecirc;n đơn cung cấp t&agrave;i liệu cho rằng bị đơn c&oacute; dấu hiệu tẩu t&aacute;n t&agrave;i sản nhằm trốn tr&aacute;nh nghĩa vụ trả nợ theo thỏa thuận.",https://thanhnien.vn/nguyen-don-to-bi-don-tau-tan-tai-san-ne-nghia-vu-tra-no-18-ti-dong-185251016155555965.htm
1e3dccae504c1caac3d297fae449a7f0,Miền Trung mưa lớn dồn dập trong 10 ng&agrave;y tới,2025-10-16T16:51:00,Thời sự,"<a href=""https://thanhnien.vn/mien-trung-mua-lon-don-dap-trong-10-ngay-toi-185251016163648857.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/edit-mua-to-17553047453021990747200-0-52-318-561-crop-17606072945281868314745.png""></a> Trong khoảng 10 ng&agrave;y, từ 16 - 26.10, c&aacute;c tỉnh miền Trung sẽ c&oacute; mưa lớn dồn dập, nguy cơ xuất hiện lũ lớn tr&ecirc;n c&aacute;c s&ocirc;ng từ H&agrave; Tĩnh đến Quảng Ng&atilde;i.",https://thanhnien.vn/mien-trung-mua-lon-don-dap-trong-10-ngay-toi-185251016163648857.htm
cb09898397acea8815af877188064bef,"Tạo khung ph&aacute;p l&yacute; cho c&aacute;c c&ocirc;ng tr&igrave;nh, dự &aacute;n cấp b&aacute;ch",2025-10-16T16:45:00,Thời sự,"<a href=""https://thanhnien.vn/tao-khung-phap-ly-cho-cac-cong-trinh-du-an-cap-bach-185251016161749073.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/202510161449221316z7122693396874d70dad76410ecf3beb863aacb054dc31-1760606108583499212520-114-1013-873-2228-crop-17606061636291199858289.jpg""></a> &Ocirc;ng Phan Văn M&atilde;i dẫn thực tế TP.HCM đến nay vẫn chưa quyết to&aacute;n được c&aacute;c bệnh viện d&atilde; chiến x&acirc;y dựng khẩn cấp trong dịch Covid-19, đề nghị cần c&oacute; quy định r&otilde; r&agrave;ng cho c&aacute;c dự &aacute;n, c&ocirc;ng tr&igrave;nh khẩn cấp, cấp b&aacute;ch.",https://thanhnien.vn/tao-khung-phap-ly-cho-cac-cong-trinh-du-an-cap-bach-185251016161749073.htm
a7cd6f767d7f6de1cd01919101d522fa,Việt Nam l&ecirc;n tiếng về vụ việc xảy ra trong l&atilde;nh hải đảo Thị Tứ,2025-10-16T16:39:00,Thời sự,"<a href=""https://thanhnien.vn/viet-nam-len-tieng-ve-vu-viec-xay-ra-trong-lanh-hai-dao-thi-tu-185251016162612853.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/z712310218756205b38758f3f3f8d139ed6b7bf07d2b72-17606067051691170412071-14-0-1614-2560-crop-1760606711003515316841.jpg""></a> Li&ecirc;n quan đến vụ việc xảy ra trong l&atilde;nh hải đảo Thị Tứ, Việt Nam hết sức quan ngại về những th&ocirc;ng tin c&ocirc;ng khai m&agrave; c&aacute;c b&ecirc;n li&ecirc;n quan đưa ra.",https://thanhnien.vn/viet-nam-len-tieng-ve-vu-viec-xay-ra-trong-lanh-hai-dao-thi-tu-185251016162612853.htm
d1cc438504c1c47c633b47e5a4552c5a,1.000 đại biểu tham dự Đại hội thi đua y&ecirc;u nước TP.HCM,2025-10-16T16:25:00,Thời sự,"<a href=""https://thanhnien.vn/1000-dai-bieu-tham-du-dai-hoi-thi-dua-yeu-nuoc-tphcm-185251016162039397.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/thi-dua-yeu-nuoc-1760606264039725247050-107-0-1707-2560-crop-17606063869891709698355.jpg""></a> Đại hội Thi đua y&ecirc;u nước TP.HCM lần thứ 1 sẽ diễn ra ng&agrave;y 24.10, c&oacute; khoảng 1.000 đại biểu tham gia; nhằm biểu dương c&aacute;c gương điển h&igrave;nh ti&ecirc;n tiến v&agrave; đề ra phương hướng thi đua giai đoạn mới.",https://thanhnien.vn/1000-dai-bieu-tham-du-dai-hoi-thi-dua-yeu-nuoc-tphcm-185251016162039397.htm
0825d2c2f13a9a0c7112aaaacf1ef68f,H&agrave; Nội lấy &yacute; kiến người d&acirc;n về quy hoạch hai b&ecirc;n bờ s&ocirc;ng T&ocirc; Lịch,2025-10-16T15:48:00,Thời sự,"<a href=""https://thanhnien.vn/ha-noi-lay-y-kien-nguoi-dan-ve-quy-hoach-hai-ben-bo-song-to-lich-185251016153018805.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/song-to-lich-cai-tao-24092025-27-17587779775081777812131-1760603355974393273577-27-0-1627-2560-crop-17606033639701782520207.jpg""></a> Ch&iacute;nh quyền sở tại đang tổ chức lấy &yacute; kiến người d&acirc;n về đồ &aacute;n Quy hoạch chi tiết tỷ lệ 1/500 hai b&ecirc;n bờ tuyến s&ocirc;ng T&ocirc; Lịch.",https://thanhnien.vn/ha-noi-lay-y-kien-nguoi-dan-ve-quy-hoach-hai-ben-bo-song-to-lich-185251016153018805.htm
07c2824d00f6a38cc7283fb50838f791,Đồng Nai nghi&ecirc;n cứu mở tour du lịch xem voi hoang d&atilde;,2025-10-16T15:46:00,Thời sự,"<a href=""https://thanhnien.vn/dong-nai-nghien-cuu-mo-tour-du-lich-xem-voi-hoang-da-18525101614415087.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/voi-rung-17328568124461614969240-22-0-391-591-crop-17606006988541638723436.jpg""></a> UBND tỉnh Đồng Nai giao c&aacute;c sở ng&agrave;nh nghi&ecirc;n cứu, tham mưu về việc k&ecirc;u gọi nh&agrave; đầu tư triển khai dự &aacute;n du lịch xem voi, để c&oacute; điều kiện t&aacute;i đầu tư, cải tạo sinh cảnh ri&ecirc;ng cho voi tr&ecirc;n địa b&agrave;n.",https://thanhnien.vn/dong-nai-nghien-cuu-mo-tour-du-lich-xem-voi-hoang-da-18525101614415087.htm
9b3ee7a7a7621ddb098d1b9c57da8f0f,"Mở rộng miễn giấy ph&eacute;p x&acirc;y dựng, thời gian cấp ph&eacute;p tối đa 7 ng&agrave;y",2025-10-16T15:45:00,Thời sự,"<a href=""https://thanhnien.vn/mo-rong-mien-giay-phep-xay-dung-thoi-gian-cap-phep-toi-da-7-ngay-185251016152837668.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/202510161426122542z7122623918779701019d05bf60a6a48f39380a48dc14f-1760603127667140601671-101-1009-827-2171-crop-17606031596011678656090.jpg""></a> Dự thảo luật X&acirc;y dựng mới mở rộng diện miễn giấy ph&eacute;p x&acirc;y dựng, đồng thời cắt giảm, đơn giản thủ tục, thời gian tối đa cấp giấy ph&eacute;p x&acirc;y dựng chỉ c&ograve;n 7 ng&agrave;y.",https://thanhnien.vn/mo-rong-mien-giay-phep-xay-dung-thoi-gian-cap-phep-toi-da-7-ngay-185251016152837668.htm
3599f562a8082751a522f58979c7df06,&Ocirc;ng Lương Nguyễn Minh Triết giữ chức B&iacute; thư Tỉnh ủy Đắk Lắk,2025-10-16T15:39:00,Thời sự,"<a href=""https://thanhnien.vn/ong-luong-nguyen-minh-triet-giu-chuc-bi-thu-tinh-uy-dak-lak-185251016132048972.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/anh-minh-triet-2-17606001118011908432486-297-0-1038-1186-crop-17606002102041322825349.jpg""></a> &Ocirc;ng Lương Nguyễn Minh Triết, Ủy vi&ecirc;n dự khuyết BCH Trung ương Đảng kh&oacute;a XIII, B&iacute; thư Th&agrave;nh ủy Đ&agrave; Nẵng, được Bộ Ch&iacute;nh trị điều động giữ chức B&iacute; thư Tỉnh ủy Đắk Lắk (nhiệm kỳ 2025 - 2030).",https://thanhnien.vn/ong-luong-nguyen-minh-triet-giu-chuc-bi-thu-tinh-uy-dak-lak-185251016132048972.htm
11b6a4453a82cb172b983c06c3497e0f,Vĩnh Long: C&ocirc;ng ty New Increase vi phạm xả nước thải ra m&ocirc;i trường,2025-10-16T15:36:00,Thời sự,"<a href=""https://thanhnien.vn/vinh-long-cong-ty-new-increase-vi-pham-xa-nuoc-thai-ra-moi-truong-185251016132852763.htm""><img src=""https://images2.thanhnien.vn/zoom/600_315/528068263637045248/2025/10/16/z7100483975530c2b88146633ccb3a1e15f5c257d6bca9-1760595969880482523141-106-0-1706-2560-crop-17605960051451508356906.jpg""></a> Một c&ocirc;ng ty ở Vĩnh Long xả nước thải ra m&ocirc;i trường vượt quy chuẩn kỹ thuật về chất thải từ 10 lần trở l&ecirc;n bị lực lượng c&ocirc;ng an lập bi&ecirc;n bản v&agrave; ra quyết định xử phạt gần 350 triệu đồng.",https://thanhnien.vn/vinh-long-cong-ty-new-increase-vi-pham-xa-nuoc-thai-ra-moi-truong-185251016132852763.htm
