Title,Date,Category,Description
Thuế quan của ông Trump giành lại vị thế cho nông sản Mỹ,2025-08-29 05:00:00,Kinh doanh,"Để xoa dịu ông Trump, các đối tác châu Á cam kết tăng mua ngô, đậu nành, lúa mì Mỹ, mở đường nông sản nước này tìm lại vị thế."
Người dân nhận 100.000 đồng dịp 2/9 như thế nào?,2025-08-29 07:41:00,Kinh doanh,Gần 20 ngân hàng và ví điện tử đã liên kết VNeID để người dân nhận 100.000 đồng tiền chi trả an sinh xã hội dịp Quốc khánh.
"Giá vàng thế giới cao nhất 5 tuần, Wall Street chưa dứt đà tăng",2025-08-29 08:00:00,Kinh doanh,"Mỗi ounce vàng thế giới tăng 20 USD, trong khi chỉ số DJIA và S&P 500 lên cao chưa từng có."
Giá vàng miếng vượt 129 triệu đồng,2025-08-29 09:44:00,Kinh doanh,"Vàng miếng tiếp tục tăng 400.000 đồng, lên 129,3 triệu đồng mỗi lượng, đắt hơn thế giới trên 20 triệu."
Thẻ MSB Mastercard Family được vinh danh tại London Design Awards 2025,2025-08-29 15:00:00,Kinh doanh,"Thẻ MSB Mastercard Family giành giải Platinum tại London Design Awards 2025 nhờ thiết kế khác biệt, truyền tải giá trị văn hóa gia đình Việt trên sản phẩm tài chính."
CEO giúp 19 nhân viên thành triệu phú,2025-08-29 15:38:00,Kinh doanh,"Bill Phelps coi nhân viên là những người đồng hành, và luôn trả lương ""hậu hĩnh"" cho họ, thậm chí thưởng bằng cả năm thu nhập."
Cổ phiếu chứng khoán giữ sắc xanh cho VN-Index,2025-08-29 15:51:00,Kinh doanh,"VND, ORS tăng trần cùng hàng loạt cổ phiếu ngành chứng khoán mạnh lên trở thành bệ đỡ giúp VN-Index giữ được sắc xanh, dù chỉ tăng hơn 1 điểm."
Masan giới thiệu hệ sinh thái tiêu dùng tại triển lãm Thành tựu đất nước,2025-08-29 16:00:00,Kinh doanh,"Masan đem đến triển lãm các thương hiệu quen thuộc như Chin-Su, Omachi, Nam Ngư; nhấn mạnh mục tiêu phục vụ tốt hơn cho 100 triệu người Việt."
Khoai lang Trung Quốc giá cao gấp 3 hàng Việt,2025-08-29 16:14:00,Kinh doanh,Một loại khoai lang Trung Quốc bất ngờ tạo cơn sốt trên chợ online dù có giá bán cao gấp 2-3 lần hàng nội địa.
Ông Nguyễn Văn Đạt dự kiến bán hơn 9% vốn Phát Đạt,2025-08-29 16:50:00,Kinh doanh,"Chủ tịch HĐQT Phát Đạt dự tính bán 88 triệu cổ phiếu để ""giải quyết nhu cầu tài chính"" sau khi giá tăng gần 30% trong vòng một tháng."
TP Bank giới thiệu loạt giải pháp chuyển đổi số tại triển lãm thành tựu đất nước,2025-08-29 17:00:00,Kinh doanh,"TPBank giới thiệu hành trình chuyển đổi số của ngân hàng tại Triển lãm Thành tựu Đất nước, đồng thời hỗ trợ người dân liên kết tài khoản an sinh xã hội trên VNeID."
"Đề xuất Hà Nội, TP HCM kiểm định khí thải xe máy từ 1/7/2027",2025-08-29 18:27:00,Kinh doanh,"Việc kiểm định khí thải xe máy tại Hà Nội, TP HCM có thể thực hiện từ 1/7/2027, lùi 6 tháng so với đề xuất trước đó."
Bước tiến 50 năm của 'ông lớn' sữa Việt tại triển lãm 2/9,2025-08-29 19:00:00,Kinh doanh,"Vinamilk trình diễn các công nghệ hàng đầu thế giới cùng hành trình trở thành thương hiệu sữa tiềm năng nhất toàn cầu, tại triển lãm Thành tựu Đất nước, ngày 28/8 đến 5/9."
Kho bạc làm xuyên lễ để kịp phát tiền cho người dân,2025-08-29 19:48:00,Kinh doanh,"Kho bạc Nhà nước duy trì làm việc, thực hiện các nghiệp vụ với ngân hàng thương mại xuyên lễ để kịp đảm bảo tặng quà cho người dân trước 2/9."
"Đề xuất không lập quy hoạch, kế hoạch sử dụng đất cấp xã",2025-08-29 20:59:00,Bất động sản,"Bộ ngành, địa phương đề xuất không lập quy hoạch, kế hoạch sử dụng đất nhằm giảm thủ tục, tránh tình trạng chồng chéo, đồng thời tăng tính thống nhất từ trên xuống."
EVNHANOI đảm bảo nguồn điện cho chuỗi sự kiện Quốc khánh,2025-08-29 22:31:00,Kinh doanh,EVNHANOI huy động hàng trăm kỹ thuật viên trực 24/24 đảm bảo nguồn điện vận hành liên tục phục vụ các hoạt động mừng Quốc khánh.
"Ngành gỗ, dệt may lạc quan vào thị trường Mỹ",2025-08-30 00:01:00,Kinh doanh,"Xuất khẩu hơn 5 và 10 tỷ USD vào Mỹ trong 7 tháng, ngành gỗ, dệt may vẫn có triển vọng trước áp lực thuế quan, theo chuyên gia."
Tòa án Mỹ: Phần lớn thuế nhập khẩu của ông Trump bất hợp pháp,2025-08-30 07:07:00,Kinh doanh,"Ngày 29/8, Tòa Phúc thẩm Liên bang khu vực Washington ra phán quyết phần lớn các mức thuế nhập khẩu của Tổng thống Mỹ Donald Trump là bất hợp pháp."
Trung Quốc dự định tăng mua khí đốt Nga,2025-08-30 07:41:00,Kinh doanh,"Trung Quốc đang tính mua thêm khí đốt của Nga qua đường ống Power of Siberia 1 hiện có, theo nguồn tin của Reuters"
Giá vàng thế giới tiếp tục tăng cao,2025-08-30 07:41:00,Kinh doanh,Lạm phát Mỹ nhích lên và bất ổn tại Fed khiến giá vàng tăng gần 30 USD trong phiên cuối tuần.
Masterise Group thể hiện dấu ấn đa ngành tại triển lãm A80,2025-08-30 10:00:00,Kinh doanh,"Masterise Group giới thiệu không gian trưng bày tái hiện hành trình phát triển hệ sinh thái bất động sản, đồng thời nêu định hướng mở rộng sang hạ tầng, logistic."
"Giá vàng miếng lập kỷ lục mới, vượt 130 triệu đồng",2025-08-30 10:15:00,Kinh doanh,"Giá vàng trong nước tiếp đà đi lên, sáng nay tăng thêm 1 triệu đồng mỗi lượng, chênh lệch tới 20,5 triệu so với thế giới."
Liên minh Ngân hàng Net Zero ngừng hoạt động,2025-08-30 12:13:00,Kinh doanh,"Liên minh Ngân hàng Net Zero do Liên Hợp Quốc hậu thuẫn thông báo tạm dừng hoạt động, sau sự ra đi của một loạt nhà băng lớn."
Người dân bắt đầu nhận quà 2/9 từ hôm nay,2025-08-30 12:48:00,Kinh doanh,"Bộ Tài chính cho biết, người dân bắt đầu nhận quà 100.000 đồng từ hôm nay, trường hợp chậm nhất không quá 15/9."
Bamboo Capital thay CEO thứ tư trong nửa năm,2025-08-30 14:33:00,Kinh doanh,"Bamboo Capital bổ nhiệm một nhân sự nước ngoài vào ghế Tổng giám đốc khi ông Phạm Hữu Quốc từ nhiệm vì ""lý do cá nhân"" sau hơn 3 tháng giữ chức."
Nutifood rót thêm 6.000 tỷ mở rộng trang trại Gia Lai,2025-08-30 15:00:00,Kinh doanh,"Sau khi đầu tư 4.500 tỷ đồng vào trang trại - nhà máy Gia Lai, Nutifood rót thêm 6.000 tỷ để nâng quy mô đàn bò, diện tích đồng cỏ và công suất nhà máy."
Vietcombank hợp tác Đà Nẵng phát triển Trung tâm Tài chính quốc tế,2025-08-30 16:30:00,Kinh doanh,"Đà Nẵng UBND TP Đà Nẵng ký biên bản ghi nhớ hợp tác (MOU) với Vietcombank về phát triển và cung cấp dịch vụ tại IFC Đà Nẵng, ngày 28/8."
Ông Trump muốn Nhật Bản mua thêm gạo Mỹ,2025-08-30 16:34:00,Kinh doanh,"Ông Trump bổ sung điều kiện Nhật Bản cam kết mua thêm gạo Mỹ trong thỏa thuận thương mại, khiến đàm phán gặp trục trặc."
