Title,Date,Category,Description,Url
Hà Nội khuyến khích người dân làm việc online để ứng phó bão,2025-10-04 23:20:00,Thời sự,"Ngày 6/10, khi bão ảnh hưởng miền Bắc, chính quyền Hà Nội khuyến khích người dân làm việc trực tuyến, Sở Giáo dục và Đào tạo xem xét cho học sinh nghỉ học.",https://vnexpress.net/ha-noi-khuyen-khich-nguoi-dan-lam-viec-online-de-ung-pho-bao-4947335.html
"Cháy lớn tại cao ốc đang xây, hàng trăm công nhân sơ tán",2025-10-04 13:20:00,Thời sự,"Đà Nẵng Sáng 4/10, công trình cao ốc Nguyễn Kim xảy ra hỏa hoạn khiến hàng trăm công nhân tháo chạy, 7 xe cứu hỏa được điều đến dập lửa.",https://vnexpress.net/chay-lon-tai-cao-oc-dang-xay-hang-tram-cong-nhan-so-tan-4947220.html
"Cán bộ, công chức không đáp ứng nhiệm vụ sẽ bị cho nghỉ",2025-10-04 11:53:00,Thời sự,"Chính phủ yêu cầu địa phương rà soát, đánh giá cán bộ, công chức cấp xã để cho nghỉ theo chế độ với những người không đáp ứng yêu cầu công việc.",https://vnexpress.net/can-bo-cong-chuc-khong-dap-ung-nhiem-vu-se-bi-cho-nghi-4947205.html
Giải cứu hai công nhân bị kính cường lực đè bất tỉnh,2025-10-04 15:41:00,Thời sự,"Tây Ninh Hai công nhân đang bốc dỡ hàng từ xe tải bất ngờ bị hàng chục tấm kính cường lực lớn rơi xuống đè trúng, sáng 4/10.",https://vnexpress.net/giai-cuu-hai-cong-nhan-bi-kinh-cuong-luc-de-bat-tinh-4947265.html
Xe cứu thương biến dạng sau tai nạn trên cao tốc Trung Lương,2025-10-04 11:20:00,Thời sự,"Tây Ninh Xe cứu thương sau va chạm với ôtô tải trên cao tốc TPHCM - Trung Lương bị dúm dó, biến dạng phần đầu, giao thông ùn ứ nhiều km, sáng 4/10.",https://vnexpress.net/xe-cuu-thuong-bien-dang-sau-tai-nan-tren-cao-toc-trung-luong-4947177.html
Vì sao năm nay bão lên phía bắc nhiều?,2025-10-04 16:48:00,Thời sự,"Tính cả bão Matmo, 6 trên 10 cơn bão từ đầu năm đến nay đã đi lên phía bắc, nguyên nhân chính là sự chi phối của áp cao cận nhiệt đới và không khí lạnh.",https://vnexpress.net/vi-sao-nam-nay-bao-len-phia-bac-nhieu-4947236.html
Hà Nội khởi công xây hầm chui tại nút giao Cổ Linh,2025-10-04 11:13:00,Thời sự,"Hầm chui tại nút giao Cổ Linh, phường Long Biên, dài khoảng 600 m (hầm kín dài 100 m), rộng hơn 27 m với 6 làn xe, dự kiến hoàn thành năm 2027.",https://vnexpress.net/ha-noi-khoi-cong-xay-ham-chui-tai-nut-giao-co-linh-4947172.html
"Bờ biển Sầm Sơn ngổn ngang đất cát, rác thải sau bão",2025-10-04 13:43:00,Thời sự,"Thanh Hóa Bão Bualoi đổ bộ đúng lúc triều cường khiến hàng nghìn m3 cát và các loại rác thải tràn lên đường phố Sầm Sơn, nhiều quầy bar, lều lán, vỉa hè hư hỏng nặng.",https://vnexpress.net/bo-bien-sam-son-ngon-ngang-dat-cat-rac-thai-sau-bao-4947175.html
"Bão Matmo mạnh lên cấp 11, đêm mai ảnh hưởng Bắc Bộ",2025-10-04 06:59:00,Thời sự,"12 tiếng sau khi vào Biển Đông, bão Matmo tăng thêm một cấp, dự kiến từ đêm mai bắt đầu gây mưa cho Bắc Bộ, Thanh Hóa và Nghệ An.",https://vnexpress.net/bao-matmo-manh-len-cap-11-dem-mai-anh-huong-bac-bo-4947110.html
'Cần có nguyên tắc chung tính thời gian nghỉ Tết',2025-10-04 10:51:00,Thời sự,"Các chuyên gia đề xuất có nguyên tắc cố định về lịch nghỉ Tết, để người dân sớm mua vé, doanh nghiệp chủ động kế hoạch, thay vì mỗi năm lại trình xin ý kiến Thủ tướng.",https://vnexpress.net/can-co-nguyen-tac-chung-tinh-thoi-gian-nghi-tet-4946996.html
"Người dân các tỉnh bão, lũ được tiêm vaccine uốn ván miễn phí",2025-10-04 08:00:00,Sức khỏe,"Chương trình tiêm vaccine uốn ván miễn phí của VNVC triển khai tại các tỉnh Tuyên Quang, Hà Tĩnh, Nghệ An, Thanh Hóa và Lào Cai, từ ngày 3/10.",https://vnexpress.net/nguoi-dan-cac-tinh-bao-lu-duoc-tiem-vaccine-uon-van-mien-phi-4947078.html
Hình hài đường ven biển hơn 5.000 tỷ đồng ở Quảng Trị,2025-10-04 05:00:00,Thời sự,"Đường ven biển dài 134 km, vốn đầu tư hơn 5.230 tỷ đồng ở Quảng Trị đang dần thành hình, kỳ vọng tạo động lực phát triển kinh tế biển và kết nối hạ tầng khu vực.",https://vnexpress.net/hinh-hai-duong-ven-bien-hon-5-000-ty-dong-o-quang-tri-4944081.html
Mang Trung thu đến với bệnh nhi tại Điện Biên,2025-10-04 08:48:00,Thời sự,Hơn 100 bệnh nhi đang điều trị tại Bệnh viện Đa khoa tỉnh Điện Biên vui Trung thu do Quỹ Hy Vọng phối hợp cùng GE HealthCare Việt Nam tổ chức chiều 2/10.,https://vnexpress.net/mang-trung-thu-den-voi-benh-nhi-tai-dien-bien-4947055.html
Xem xét đề xuất loại bỏ tên bão Bualoi,2025-10-03 16:51:00,Thời sự,Cục Khí tượng Thủy văn (Bộ Nông nghiệp và Môi trường) đang xem xét đề xuất bỏ tên Bualoi ra khỏi danh sách 140 tên đặt cho bão ở Thái Bình Dương.,https://vnexpress.net/xem-xet-de-xuat-loai-bo-ten-bao-bualoi-4946989.html
Ôtô chở 30 người cháy rụi trên cao tốc Nha Trang - Cam Lâm,2025-10-04 10:20:00,Thời sự,"Khánh Hòa Xe khách chở 30 người đang chạy trên cao tốc Nha Trang - Cam Lâm bất ngờ bốc cháy, toàn bộ hành khách thoát nạn, sáng 4/10.",https://vnexpress.net/oto-cho-30-nguoi-chay-rui-tren-cao-toc-nha-trang-cam-lam-4947168.html
TP Huế có tân Bí thư,2025-10-03 23:32:00,Thời sự,"Chủ tịch UBND TP Huế Nguyễn Văn Phương (55 tuổi) được bầu giữ chức Bí thư Thành ủy Huế nhiệm kỳ 2025-2030, thay ông Lê Trường Lưu nghỉ hưu.",https://vnexpress.net/tp-hue-co-tan-bi-thu-4947085.html
'Mở rộng quyền định đoạt của chủ sở hữu tài sản trí tuệ',2025-10-03 14:46:00,Thời sự,"Dự luật Sở hữu trí tuệ sửa đổi sẽ chuyển mạnh trọng tâm từ bảo hộ sang khai thác và thương mại hóa quyền sở hữu trí tuệ, nhằm thúc đẩy đổi mới sáng tạo, trở thành động lực tăng trưởng.",https://vnexpress.net/mo-rong-quyen-dinh-doat-cua-chu-so-huu-tai-san-tri-tue-4946755.html
"Tổng Bí thư: 'Không có cán bộ thiếu trình độ, chỉ có thiếu nhiệt tình'",2025-10-03 21:32:00,Thời sự,"Tổng Bí thư Tô Lâm cho rằng không thể nói cấp xã thiếu cán bộ có trình độ, mà chỉ có cán bộ thiếu nhiệt tình, trách nhiệm và tinh thần phục vụ nhân dân.",https://vnexpress.net/tong-bi-thu-khong-co-can-bo-thieu-trinh-do-chi-co-thieu-nhiet-tinh-4947062.html
Thượng tướng Thái Đại Ngọc làm Bí thư Gia Lai,2025-10-03 11:12:00,Thời sự,"Thượng tướng Thái Đại Ngọc, Phó tổng Tham mưu trưởng Quân đội nhân dân, được Bộ Chính trị chỉ định giữ chức Bí thư Tỉnh ủy Gia Lai nhiệm kỳ 2025-2030.",https://vnexpress.net/thuong-tuong-thai-dai-ngoc-lam-bi-thu-gia-lai-4946796.html
Hai cán bộ bị kỷ luật vì đề xuất dùng lầu Bảo Đại làm nơi ở,2025-10-03 21:02:00,Thời sự,"Khánh Hòa Ông Trần Đức Hà, Giám đốc Trung tâm Bảo tồn di sản văn hóa tỉnh, Phó giám đốc Lê Xuân Lợi bị khiển trách vì đề xuất bố trí nơi ở cho cán bộ trong khu di tích lầu Bảo Đại.",https://vnexpress.net/hai-can-bo-bi-ky-luat-vi-de-xuat-dung-lau-bao-dai-lam-noi-o-4947065.html
"Lao động sang Đức lái tàu điện, xe buýt nhận lương 100 triệu đồng",2025-10-04 00:00:00,Thời sự,"Người lao động Việt Nam sang Đức học nghề lái tàu điện, xe buýt trong 2,5 năm, sau đó làm việc tại TP Leipzig với mức lương 3.000-3.500 euro mỗi tháng (92-108 triệu đồng).",https://vnexpress.net/lao-dong-sang-duc-lai-tau-dien-xe-buyt-nhan-luong-100-trieu-dong-4947093.html
Chủ tịch xã bị ôtô tông tử vong khi phân luồng giao thông,2025-10-04 08:26:00,Thời sự,"Đăk Lăk Ông Lê Phước Toàn, Chủ tịch xã Dray Bhăng, 44 tuổi, bị ôtô tông tử vong khi đang điều tiết giao thông đoạn quốc lộ 27 bị ngập sâu.",https://vnexpress.net/chu-tich-xa-bi-oto-tong-tu-vong-khi-phan-luong-giao-thong-4947125.html
Ông Nguyễn Hữu Nghĩa làm Bí thư Hưng Yên nhiệm kỳ 2025-2030,2025-10-03 11:42:00,Thời sự,"Ông Nguyễn Hữu Nghĩa, 53 tuổi, Bí thư Tỉnh ủy đương nhiệm, được Bộ Chính trị chỉ định tiếp tục giữ chức Bí thư Tỉnh ủy Hưng Yên nhiệm kỳ 2025-2030.",https://vnexpress.net/ong-nguyen-huu-nghia-lam-bi-thu-hung-yen-nhiem-ky-2025-2030-4946805.html
Sập cầu trên đường tránh ở Tuyên Quang,2025-10-03 09:38:00,Thời sự,"Sáng 3/10, cầu Tát Luông dài 150 m, rộng 10 m trên tuyến đường tránh xã Nà Hang, tỉnh Tuyên Quang, bị sập một mố cầu sau khi nước lũ rút.",https://vnexpress.net/sap-cau-tren-duong-tranh-o-tuyen-quang-4946740.html
Dự kiến 22 ngày nghỉ lễ Tết năm 2026,2025-10-03 00:00:00,Thời sự,"Theo đề xuất của Bộ Nội vụ, năm 2026, công chức, người lao động được nghỉ tổng cộng 22 ngày các kỳ lễ Tết, gồm 11 ngày chính thức và 11 ngày nghỉ hàng tuần, hoán đổi.",https://vnexpress.net/du-kien-22-ngay-nghi-le-tet-nam-2026-4946633.html
Đề xuất xây hồ ngầm dưới sân bóng để xóa 'rốn ngập' ở TP HCM,2025-10-03 15:01:00,Thời sự,"Hồ điều tiết ngầm được đề xuất xây dựng dưới sân bóng đá Linh Tây, khả năng trữ 13.000 m3 nước, giúp xử lý những khu vực ngập sâu ở Thủ Đức.",https://vnexpress.net/de-xuat-xay-ho-ngam-duoi-san-bong-de-xoa-ron-ngap-o-tp-hcm-4946859.html
Bão Matmo hôm nay vào Biển Đông,2025-10-03 06:49:00,Thời sự,"Đổ bộ đảo Luzon, Philippines trưa nay với sức gió cấp 9, bão Matmo sau đó vào Biển Đông và dự báo tăng lên cấp 11 khi vào vịnh Bắc Bộ ngày 6/10.",https://vnexpress.net/bao-matmo-hom-nay-vao-bien-dong-4946644.html
Thủ tướng quyên góp ủng hộ người dân vùng bão Bualoi,2025-10-03 12:27:00,Thời sự,Thủ tướng Phạm Minh Chính cùng các Phó thủ tướng và tập thể Văn phòng Chính phủ quyên góp 500 triệu đồng ủng hộ người dân bị ảnh hưởng bởi bão Bualoi.,https://vnexpress.net/thu-tuong-quyen-gop-ung-ho-nguoi-dan-vung-bao-bualoi-4946779.html
Cấp 2.500 tỷ đồng hỗ trợ địa phương ảnh hưởng bão Bualoi,2025-10-02 22:55:00,Thời sự,"Thủ tướng Phạm Minh Chính cấp 2.524 tỷ đồng từ nguồn dự phòng ngân sách trung ương năm 2025 cho 15 tỉnh thành khắc phục hậu quả cơn bão Bualoi, ngày 2/10.",https://vnexpress.net/cap-2-500-ty-dong-ho-tro-dia-phuong-anh-huong-bao-bualoi-4946629.html
10 phường có nhiều người vi phạm giao thông nhất cả nước,2025-10-02 22:13:00,Thời sự,"Trên cơ sở phân tích dữ liệu tập trung, Cục CSGT thống kê 10 xã, phường có nhiều người vi phạm giao thông nhất, đứng đầu là Phan Đình Phùng, tỉnh Thái Nguyên.",https://vnexpress.net/10-phuong-co-nhieu-nguoi-vi-pham-giao-thong-nhat-ca-nuoc-4946593.html
TP HCM khó mở làn riêng cho xe đạp ở trung tâm,2025-10-03 00:00:00,Thời sự,"Việc mở làn đường dành riêng cho xe đạp tại trung tâm TP HCM gặp khó do vỉa hè hẹp, thường xuyên bị lấn chiếm, lòng đường nhỏ và phương tiện đông.",https://vnexpress.net/tp-hcm-kho-mo-lan-rieng-cho-xe-dap-o-trung-tam-4946600.html
Đường kết nối TP HCM - Tây Ninh mở rộng gần 3 lần,2025-10-03 12:00:00,Thời sự,"Đường ĐT 830C (Nguyễn Hữu Trí) dài 9 km được mở rộng gần ba lần, từ 12 m lên 30 m với tổng vốn đầu tư khoảng 1.850 tỷ đồng, khởi công sáng 3/10.",https://vnexpress.net/duong-ket-noi-tp-hcm-tay-ninh-mo-rong-gan-3-lan-4946841.html
Mặt trận Tổ quốc tiếp nhận 672 tỷ đồng ủng hộ đồng bào sau bão Bualoi,2025-10-02 18:17:00,Thời sự,"Đến chiều 2/10, Trung ương Mặt trận Tổ quốc Việt Nam đã tiếp nhận 672 tỷ đồng ủng hộ đồng bào khắc phục hậu quả bão Bualoi qua các tài khoản ngân hàng.",https://vnexpress.net/mat-tran-to-quoc-tiep-nhan-672-ty-dong-ung-ho-dong-bao-sau-bao-bualoi-4946570.html
Tìm thấy hai thi thể trong ôtô bị vùi lấp ở Lào Cai,2025-10-03 08:55:00,Thời sự,"Sáng 3/10, lực lượng cứu hộ tìm thấy thi thể hai trong ba người đàn ông mất tích trong vụ sạt lở đất ở xã Minh Lương, tỉnh Lào Cai.",https://vnexpress.net/tim-thay-hai-thi-the-trong-oto-bi-vui-lap-o-lao-cai-4946669.html
Bão Matmo có thể gây mưa lớn cho Bắc Bộ,2025-10-03 17:45:00,Thời sự,"Chiều 3/10, bão Matmo vượt qua đảo Luzon (Philippines) vào Biển Đông, dự báo vào vịnh Bắc Bộ sáng 5/10, gây mưa lớn cho Bắc Bộ và Thanh Hóa.",https://vnexpress.net/bao-matmo-co-the-gay-mua-lon-cho-bac-bo-4946999.html
Đường 3.800 tỷ đồng nối TP HCM - Đồng Nai dày đặc 'ổ voi',2025-10-03 00:00:00,Thời sự,"Sau một năm khai thác, đường tạo lực Bắc Tân Uyên - Phú Giáo - Bàu Bàng dài 41 km nhiều đoạn hư hỏng nặng, chi chít ""ổ gà, ổ voi"", gây nguy hiểm cho xe đi qua.",https://vnexpress.net/duong-3-800-ty-dong-noi-tp-hcm-dong-nai-day-dac-o-voi-4946564.html
"Bão Matmo mạnh lên cấp 12, gây mưa ở miền Bắc từ đêm mai",2025-10-04 20:50:00,Thời sự,"Sau 24 tiếng vào Biển Đông, Matmo mạnh thêm hai cấp, lên 12, dự báo đạt cực đại cấp 13 trước khi vào vịnh Bắc Bộ và gây mưa cho miền Bắc từ đêm mai.",https://vnexpress.net/bao-matmo-manh-len-cap-12-gay-mua-o-mien-bac-tu-dem-mai-4947314.html
Cấm biển phòng bão Matmo,2025-10-04 22:38:00,Thời sự,"TP Hải Phòng, Quảng Ninh, Hưng Yên lần lượt cấm biển, dừng hoạt động du lịch, vui chơi, khai thác thủy hải sản ở cửa sông, ven biển.",https://vnexpress.net/cam-bien-phong-bao-matmo-4947313.html#box_comment_vne
"Bão Matmo mạnh lên cấp 12, gây mưa ở miền Bắc từ đêm mai",2025-10-04 20:50:00,Thời sự,"Sau 24 tiếng vào Biển Đông, Matmo mạnh thêm hai cấp, lên 12, dự báo đạt cực đại cấp 13 trước khi vào vịnh Bắc Bộ và gây mưa cho miền Bắc từ đêm mai.",https://vnexpress.net/bao-matmo-manh-len-cap-12-gay-mua-o-mien-bac-tu-dem-mai-4947314.html#box_comment_vne
Tổng Bí thư quyên góp ủng hộ người dân ảnh hưởng bởi bão Bualoi,2025-10-02 20:44:00,Thời sự,"Chiều 2/10, Tổng Bí thư Tô Lâm cùng tập thể cán bộ, công chức, viên chức Văn phòng Trung ương Đảng tổ chức quyên góp ủng hộ người dân bị ảnh hưởng bởi bão Bualoi.",https://vnexpress.net/tong-bi-thu-quyen-gop-ung-ho-nguoi-dan-anh-huong-boi-bao-bualoi-4946594.html
"Bộ Nội vụ đề xuất tăng lương tối thiểu 7,2% từ năm 2026",2025-10-02 15:52:00,Thời sự,"Bộ Nội vụ đề xuất tăng lương tối thiểu vùng 7,2%, tương đương 250.000-350.000 đồng mỗi tháng, cao hơn khoảng 0,6% so với mức sống tối thiểu đến hết năm 2026.",https://vnexpress.net/bo-noi-vu-de-xuat-tang-luong-toi-thieu-7-2-tu-nam-2026-4946370.html
Vì sao bão Bualoi gây thiệt hại lớn?,2025-10-02 15:43:00,Thời sự,"Dự báo sát, công tác ứng phó triển khai từ sớm, song bão Bualoi vẫn gây thiệt hại nặng nề bởi tạo tổ hợp đa thiên tai và một phần tâm lý chủ quan từ người dân.",https://vnexpress.net/vi-sao-bao-bualoi-gay-thiet-hai-lon-4946166.html
Bãi biển Nhật Lệ ken đặc rác sau bão,2025-10-02 18:28:00,Thời sự,"Quảng Trị Khoảng 2 km bãi biển Nhật Lệ, phường Đồng Hới tràn ngập rác từ các con sông đổ ra, công nhân dọn được vài tiếng thì rác lại tấp vào.",https://vnexpress.net/bai-bien-nhat-le-ken-dac-rac-sau-bao-4946559.html
"TP HCM lên kế hoạch kiểm định 186 chung cư xuống cấp, hư hỏng",2025-10-02 14:33:00,Thời sự,"Nhiều chung cư cấp C tiềm ẩn nguy hiểm được Sở Xây dựng TP HCM đề xuất kiểm tra để có kế hoạch cải tạo, tháo dỡ.",https://vnexpress.net/tp-hcm-len-ke-hoach-kiem-dinh-186-chung-cu-xuong-cap-hu-hong-4946422.html
Quân đội sẽ có 61 đại biểu dự Đại hội Đảng 14,2025-10-02 12:52:00,Thời sự,"61 đại biểu Đảng bộ Quân đội gồm 45 được bầu chính thức (3 dự khuyết) và 16 đại biểu đương nhiên, sẽ dự Đại hội đại biểu toàn quốc lần thứ 14 của Đảng đầu năm 2026 tại Hà Nội.",https://vnexpress.net/quan-doi-se-co-61-dai-bieu-du-dai-hoi-dang-14-4946386.html
Bộ Chính trị chỉ định ông Nguyễn Tiến Hải làm Bí thư An Giang,2025-10-03 10:53:00,Thời sự,"Ông Nguyễn Tiến Hải, 60 tuổi, được Bộ Chính trị chỉ định tiếp tục giữ chức Bí thư Tỉnh ủy An Giang, nhiệm kỳ 2025-2030.",https://vnexpress.net/bo-chinh-tri-chi-dinh-ong-nguyen-tien-hai-lam-bi-thu-an-giang-4946651.html
"36 người chết, thiệt hại hơn 11.400 tỷ đồng do bão Bualoi",2025-10-02 11:30:00,Thời sự,"Bão Bualoi đã làm 36 người chết, 21 người mất tích, chủ yếu do giông lốc, sạt lở, lũ, thiệt hại kinh tế nặng nhất là Hà Tĩnh với 6.000 tỷ đồng.",https://vnexpress.net/36-nguoi-chet-thiet-hai-hon-11-400-ty-dong-do-bao-bualoi-4946323.html
Thứ trưởng Hồ Văn Niên làm Bí thư Quảng Ngãi,2025-10-02 09:33:00,Thời sự,"Ông Hồ Văn Niên, 50 tuổi, Thứ trưởng thường trực Bộ Dân tộc và Tôn giáo được Bộ Chính trị điều động làm Bí thư Tỉnh ủy Quảng Ngãi, thay bà Bùi Thị Quỳnh Vân.",https://vnexpress.net/thu-truong-ho-van-nien-lam-bi-thu-quang-ngai-4945809.html
Cử tri Đà Nẵng: Nhà ở xã hội phải tách biệt với kinh doanh,2025-10-03 12:26:00,Thời sự,"Tại hội nghị tiếp xúc cử tri TP Đà Nẵng sáng 3/10, nhiều ý kiến đề nghị chính sách nhà ở xã hội cần tách bạch với hoạt động kinh doanh bất động sản, tránh tình trạng giao cho doanh nghiệp rồi bị thổi giá.",https://vnexpress.net/cu-tri-da-nang-nha-o-xa-hoi-phai-tach-biet-voi-kinh-doanh-4946842.html
"51 người chết, thiệt hại gần 16.000 tỷ đồng do bão Bualoi",2025-10-03 10:41:00,Thời sự,"Số người chết tăng lên 51, thiệt hại kinh tế do bão Bualoi tiếp tục tăng do nhiều nạn nhân mất tích được tìm thấy và địa phương thống kê đầy đủ hơn.",https://vnexpress.net/51-nguoi-chet-thiet-hai-gan-16-000-ty-dong-do-bao-bualoi-4946766.html
Cấm biển phòng bão Matmo,2025-10-04 22:38:00,Thời sự,"TP Hải Phòng, Quảng Ninh, Hưng Yên lần lượt cấm biển, dừng hoạt động du lịch, vui chơi, khai thác thủy hải sản ở cửa sông, ven biển.",https://vnexpress.net/cam-bien-phong-bao-matmo-4947313.html
Áp thấp nhiệt đới gần Biển Đông mạnh lên thành bão,2025-10-02 06:24:00,Thời sự,"Mạnh lên thành bão cấp 8 vào rạng sáng nay, dự báo ngày mai bão Matmo đổ bộ đảo Luzon của Philippines và vào Biển Đông, có thể đạt cực đại cấp 12.",https://vnexpress.net/hom-nay-ap-thap-nhiet-doi-gan-bien-dong-se-manh-len-thanh-bao-4946180.html
Hơn 200 bệnh nhi khó khăn được hỗ trợ điều trị,2025-10-02 09:31:00,Thời sự,"Trong số các bệnh nhi được Quỹ Hy vọng hỗ trợ điều trị trong quý 3, có 22 ca được ghép tủy giúp tăng cơ hội trở lại cuộc sống bình thường.",https://vnexpress.net/hon-200-benh-nhi-kho-khan-duoc-ho-tro-dieu-tri-4946230.html
"Nghi nổ khí gas, 4 người bị thương",2025-10-04 20:12:00,Thời sự,"Hải Phòng Sau tiếng nổ lớn chiều 4/10, quán ""Thắng ốc"" và hai ki-ốt bán trà sữa bên sân vận động xã Tiên Lãng đổ sập, 4 người bị thương.",https://vnexpress.net/nghi-no-khi-gas-4-nguoi-bi-thuong-4947315.html
Cây xanh bật gốc đè hai bà cháu ở TP HCM,2025-10-01 21:08:00,Thời sự,"Tối 1/10, mưa lớn kèm gió mạnh tại Dĩ An (Bình Dương cũ) làm nhiều cây xanh bật gốc, trong đó một thân phượng đè xe máy chở bà cháu, khiến cả hai bị thương nặng.",https://vnexpress.net/cay-xanh-bat-goc-de-hai-ba-chau-o-tp-hcm-4946147.html
